1,鼠标,外设产品|鼠标|办公
2,剃须刀,家用电器|个人护理电器|电动剃须刀
3,存储卡,存储设备|存储卡|电脑/办公
4,U盘,存储设备|U盘|电脑/办公
5,面霜,男士乳液/面霜|男士护肤|美妆个护
6,水壶,杯具/水壶|厨房/餐具|家居生活
7,洗面奶,洁面|面部护理|美妆个护
8,移动硬盘,存储设备|移动硬盘|办公
9,手机,手机|手机通讯|手机/数码
10,香水,彩妆|香水|美妆个护
11,网卡,网络设备|网卡|电脑/办公
12,台灯,灯具|台灯|家具/家装/建材
13,沐浴露,沐浴露|身体护理|美妆个护
14,电吹风,家用电器|电吹风|个人护理电器
15,电子书,数码影音|电子书/电子阅览器|手机/数码
16,爽肤水,面部护理|美妆个护|化妆水/爽肤水
17,耳机,外设产品|耳机/耳麦|电脑/办公
18,鼠标,外设产品|鼠标|电脑/办公
19,洗面奶,男士护肤|美妆个护|男士洁面
20,保温杯,保温杯/保温壶|厨房/餐具|家居生活
21,音箱,外设产品|电脑/办公|电脑音箱
22,除湿器,家用电器|加湿/除湿器|生活电器
23,收纳箱,收纳整理|收纳|家居生活
24,睫毛膏,睫毛膏|彩妆|美妆个护
25,手表,钟表/首饰/眼镜/礼品|钟表|手表
